"MTU","Out Area","In Area","Physical Flow (MW)"
"01/01/2026 03:00:00 - 01/01/2026 04:00:00","United Kingdom (GB-CTY)","France (FR)","2043.22"
"01/01/2026 04:00:00 - 01/01/2026 05:00:00","France (FR)","Belgium (BE)","0.00"
"01/01/2026 04:00:00 - 01/01/2026 05:00:00","Belgium (BE)","France (FR)","2697.12"
"01/01/2026 04:00:00 - 01/01/2026 05:00:00","France (FR)","Germany (DE)","0.00"
"01/01/2026 04:00:00 - 01/01/2026 05:00:00","Germany (DE)","France (FR)","1374.93"
"01/01/2026 04:00:00 - 01/01/2026 05:00:00","France (FR)","Italy (IT)","795.58"
"01/01/2026 04:00:00 - 01/01/2026 05:00:00","Italy (IT)","France (FR)","0.00"
"01/01/2026 04:00:00 - 01/01/2026 05:00:00","France (FR)","Luxembourg (LU)","n/e"
"01/01/2026 04:00:00 - 01/01/2026 05:00:00","Luxembourg (LU)","France (FR)","n/e"
"01/01/2026 04:00:00 - 01/01/2026 05:00:00","France (FR)","Spain (ES)","1091.23"
"01/01/2026 04:00:00 - 01/01/2026 05:00:00","Spain (ES)","France (FR)","0.00"
"01/01/2026 04:00:00 - 01/01/2026 05:00:00","France (FR)","Switzerland (CH)","714.12"
"01/01/2026 04:00:00 - 01/01/2026 05:00:00","Switzerland (CH)","France (FR)","0.00"
"01/01/2026 04:00:00 - 01/01/2026 05:00:00","France (FR)","United Kingdom (GB-CTY)","0.00"
"01/01/2026 04:00:00 - 01/01/2026 05:00:00","United Kingdom (GB-CTY)","France (FR)","2097.83"
"01/01/2026 05:00:00 - 01/01/2026 06:00:00","France (FR)","Belgium (BE)","0.00"
"01/01/2026 05:00:00 - 01/01/2026 06:00:00","Belgium (BE)","France (FR)","2653.75"
"01/01/2026 05:00:00 - 01/01/2026 06:00:00","France (FR)","Germany (DE)","0.00"
"01/01/2026 05:00:00 - 01/01/2026 06:00:00","Germany (DE)","France (FR)","1590.74"
"01/01/2026 05:00:00 - 01/01/2026 06:00:00","France (FR)","Italy (IT)","734.55"
"01/01/2026 05:00:00 - 01/01/2026 06:00:00","Italy (IT)","France (FR)","0.00"
"01/01/2026 05:00:00 - 01/01/2026 06:00:00","France (FR)","Luxembourg (LU)","n/e"
"01/01/2026 05:00:00 - 01/01/2026 06:00:00","Luxembourg (LU)","France (FR)","n/e"
"01/01/2026 05:00:00 - 01/01/2026 06:00:00","France (FR)","Spain (ES)","792.53"
"01/01/2026 05:00:00 - 01/01/2026 06:00:00","Spain (ES)","France (FR)","0.00"
"01/01/2026 05:00:00 - 01/01/2026 06:00:00","France (FR)","Switzerland (CH)","393.73"
"01/01/2026 05:00:00 - 01/01/2026 06:00:00","Switzerland (CH)","France (FR)","0.00"
"01/01/2026 05:00:00 - 01/01/2026 06:00:00","France (FR)","United Kingdom (GB-CTY)","0.00"
"01/01/2026 05:00:00 - 01/01/2026 06:00:00","United Kingdom (GB-CTY)","France (FR)","2624.22"
"01/01/2026 06:00:00 - 01/01/2026 07:00:00","France (FR)","Belgium (BE)","0.00"
"01/01/2026 06:00:00 - 01/01/2026 07:00:00","Belgium (BE)","France (FR)","3365.12"
"01/01/2026 06:00:00 - 01/01/2026 07:00:00","France (FR)","Germany (DE)","0.00"
"01/01/2026 06:00:00 - 01/01/2026 07:00:00","Germany (DE)","France (FR)","2352.36"
"01/01/2026 06:00:00 - 01/01/2026 07:00:00","France (FR)","Italy (IT)","474.73"
