"MTU","Out Area","In Area","Physical Flow (MW)"
"01/01/2026 19:00:00 - 01/01/2026 20:00:00","France (FR)","Switzerland (CH)","296.50"
"01/01/2026 19:00:00 - 01/01/2026 20:00:00","Switzerland (CH)","France (FR)","0.00"
"01/01/2026 19:00:00 - 01/01/2026 20:00:00","France (FR)","United Kingdom (GB-CTY)","3561.83"
"01/01/2026 19:00:00 - 01/01/2026 20:00:00","United Kingdom (GB-CTY)","France (FR)","0.00"
"01/01/2026 20:00:00 - 01/01/2026 21:00:00","France (FR)","Belgium (BE)","0.00"
"01/01/2026 20:00:00 - 01/01/2026 21:00:00","Belgium (BE)","France (FR)","1927.70"
"01/01/2026 20:00:00 - 01/01/2026 21:00:00","France (FR)","Germany (DE)","0.00"
"01/01/2026 20:00:00 - 01/01/2026 21:00:00","Germany (DE)","France (FR)","1179.90"
"01/01/2026 20:00:00 - 01/01/2026 21:00:00","France (FR)","Italy (IT)","1392.04"
"01/01/2026 20:00:00 - 01/01/2026 21:00:00","Italy (IT)","France (FR)","0.00"
"01/01/2026 20:00:00 - 01/01/2026 21:00:00","France (FR)","Luxembourg (LU)","n/e"
"01/01/2026 20:00:00 - 01/01/2026 21:00:00","Luxembourg (LU)","France (FR)","n/e"
"01/01/2026 20:00:00 - 01/01/2026 21:00:00","France (FR)","Spain (ES)","1738.09"
"01/01/2026 20:00:00 - 01/01/2026 21:00:00","Spain (ES)","France (FR)","0.00"
"01/01/2026 20:00:00 - 01/01/2026 21:00:00","France (FR)","Switzerland (CH)","517.45"
"01/01/2026 20:00:00 - 01/01/2026 21:00:00","Switzerland (CH)","France (FR)","0.00"
"01/01/2026 20:00:00 - 01/01/2026 21:00:00","France (FR)","United Kingdom (GB-CTY)","3349.06"
"01/01/2026 20:00:00 - 01/01/2026 21:00:00","United Kingdom (GB-CTY)","France (FR)","0.00"
"01/01/2026 21:00:00 - 01/01/2026 22:00:00","France (FR)","Belgium (BE)","0.00"
"01/01/2026 21:00:00 - 01/01/2026 22:00:00","Belgium (BE)","France (FR)","1450.37"
"01/01/2026 21:00:00 - 01/01/2026 22:00:00","France (FR)","Germany (DE)","0.00"
"01/01/2026 21:00:00 - 01/01/2026 22:00:00","Germany (DE)","France (FR)","934.85"
"01/01/2026 21:00:00 - 01/01/2026 22:00:00","France (FR)","Italy (IT)","1200.50"
"01/01/2026 21:00:00 - 01/01/2026 22:00:00","Italy (IT)","France (FR)","0.00"
"01/01/2026 21:00:00 - 01/01/2026 22:00:00","France (FR)","Luxembourg (LU)","n/e"
"01/01/2026 21:00:00 - 01/01/2026 22:00:00","Luxembourg (LU)","France (FR)","n/e"
"01/01/2026 21:00:00 - 01/01/2026 22:00:00","France (FR)","Spain (ES)","1615.57"
"01/01/2026 21:00:00 - 01/01/2026 22:00:00","Spain (ES)","France (FR)","0.00"
"01/01/2026 21:00:00 - 01/01/2026 22:00:00","France (FR)","Switzerland (CH)","599.92"
"01/01/2026 21:00:00 - 01/01/2026 22:00:00","Switzerland (CH)","France (FR)","0.00"
"01/01/2026 21:00:00 - 01/01/2026 22:00:00","France (FR)","United Kingdom (GB-CTY)","2779.44"
"01/01/2026 21:00:00 - 01/01/2026 22:00:00","United Kingdom (GB-CTY)","France (FR)","0.00"
"01/01/2026 22:00:00 - 01/01/2026 23:00:00","France (FR)","Belgium (BE)","0.00"
"01/01/2026 22:00:00 - 01/01/2026 23:00:00","Belgium (BE)","France (FR)","1671.51"
"01/01/2026 22:00:00 - 01/01/2026 23:00:00","France (FR)","Germany (DE)","0.00"
"01/01/2026 22:00:00 - 01/01/2026 23:00:00","Germany (DE)","France (FR)","967.02"
"01/01/2026 22:00:00 - 01/01/2026 23:00:00","France (FR)","Italy (IT)","893.62"
"01/01/2026 22:00:00 - 01/01/2026 23:00:00","Italy (IT)","France (FR)","0.00"
"01/01/2026 22:00:00 - 01/01/2026 23:00:00","France (FR)","Luxembourg (LU)","n/e"
"01/01/2026 22:00:00 - 01/01/2026 23:00:00","Luxembourg (LU)","France (FR)","n/e"
"01/01/2026 22:00:00 - 01/01/2026 23:00:00","France (FR)","Spain (ES)","1744.26"
"01/01/2026 22:00:00 - 01/01/2026 23:00:00","Spain (ES)","France (FR)","0.00"
"01/01/2026 22:00:00 - 01/01/2026 23:00:00","France (FR)","Switzerland (CH)","509.65"
"01/01/2026 22:00:00 - 01/01/2026 23:00:00","Switzerland (CH)","France (FR)","0.00"
"01/01/2026 22:00:00 - 01/01/2026 23:00:00","France (FR)","United Kingdom (GB-CTY)","1804.50"
"01/01/2026 22:00:00 - 01/01/2026 23:00:00","United Kingdom (GB-CTY)","France (FR)","0.00"
"01/01/2026 23:00:00 - 02/01/2026 00:00:00","France (FR)","Belgium (BE)","0.00"
"01/01/2026 23:00:00 - 02/01/2026 00:00:00","Belgium (BE)","France (FR)","2060.65"
"01/01/2026 23:00:00 - 02/01/2026 00:00:00","France (FR)","Germany (DE)","0.00"
"01/01/2026 23:00:00 - 02/01/2026 00:00:00","Germany (DE)","France (FR)","1020.93"
"01/01/2026 23:00:00 - 02/01/2026 00:00:00","France (FR)","Italy (IT)","646.66"
"01/01/2026 23:00:00 - 02/01/2026 00:00:00","Italy (IT)","France (FR)","0.00"
"01/01/2026 23:00:00 - 02/01/2026 00:00:00","France (FR)","Luxembourg (LU)","n/e"
"01/01/2026 23:00:00 - 02/01/2026 00:00:00","Luxembourg (LU)","France (FR)","n/e"
"01/01/2026 23:00:00 - 02/01/2026 00:00:00","France (FR)","Spain (ES)","1538.52"
"01/01/2026 23:00:00 - 02/01/2026 00:00:00","Spain (ES)","France (FR)","0.00"
"01/01/2026 23:00:00 - 02/01/2026 00:00:00","France (FR)","Switzerland (CH)","666.90"
"01/01/2026 23:00:00 - 02/01/2026 00:00:00","Switzerland (CH)","France (FR)","0.00"
"01/01/2026 23:00:00 - 02/01/2026 00:00:00","France (FR)","United Kingdom (GB-CTY)","1380.66"
"01/01/2026 23:00:00 - 02/01/2026 00:00:00","United Kingdom (GB-CTY)","France (FR)","0.00"
"02/01/2026 00:00:00 - 02/01/2026 01:00:00","France (FR)","Belgium (BE)","0.00"
"02/01/2026 00:00:00 - 02/01/2026 01:00:00","Belgium (BE)","France (FR)","2969.43"
"02/01/2026 00:00:00 - 02/01/2026 01:00:00","France (FR)","Germany (DE)","0.00"
"02/01/2026 00:00:00 - 02/01/2026 01:00:00","Germany (DE)","France (FR)","1926.04"
"02/01/2026 00:00:00 - 02/01/2026 01:00:00","France (FR)","Italy (IT)","269.75"
"02/01/2026 00:00:00 - 02/01/2026 01:00:00","Italy (IT)","France (FR)","0.00"
"02/01/2026 00:00:00 - 02/01/2026 01:00:00","France (FR)","Luxembourg (LU)","n/e"
"02/01/2026 00:00:00 - 02/01/2026 01:00:00","Luxembourg (LU)","France (FR)","n/e"
"02/01/2026 00:00:00 - 02/01/2026 01:00:00","France (FR)","Spain (ES)","1079.43"
"02/01/2026 00:00:00 - 02/01/2026 01:00:00","Spain (ES)","France (FR)","0.00"
"02/01/2026 00:00:00 - 02/01/2026 01:00:00","France (FR)","Switzerland (CH)","77.26"
"02/01/2026 00:00:00 - 02/01/2026 01:00:00","Switzerland (CH)","France (FR)","0.00"
"02/01/2026 00:00:00 - 02/01/2026 01:00:00","France (FR)","United Kingdom (GB-CTY)","1435.99"
"02/01/2026 00:00:00 - 02/01/2026 01:00:00","United Kingdom (GB-CTY)","France (FR)","0.00"
"02/01/2026 01:00:00 - 02/01/2026 02:00:00","France (FR)","Belgium (BE)","0.00"
"02/01/2026 01:00:00 - 02/01/2026 02:00:00","Belgium (BE)","France (FR)","3428.69"
"02/01/2026 01:00:00 - 02/01/2026 02:00:00","France (FR)","Germany (DE)","0.00"
"02/01/2026 01:00:00 - 02/01/2026 02:00:00","Germany (DE)","France (FR)","1925.59"
"02/01/2026 01:00:00 - 02/01/2026 02:00:00","France (FR)","Italy (IT)","256.62"
"02/01/2026 01:00:00 - 02/01/2026 02:00:00","Italy (IT)","France (FR)","0.00"
"02/01/2026 01:00:00 - 02/01/2026 02:00:00","France (FR)","Luxembourg (LU)","n/e"
"02/01/2026 01:00:00 - 02/01/2026 02:00:00","Luxembourg (LU)","France (FR)","n/e"
"02/01/2026 01:00:00 - 02/01/2026 02:00:00","France (FR)","Spain (ES)","838.15"
"02/01/2026 01:00:00 - 02/01/2026 02:00:00","Spain (ES)","France (FR)","0.00"
"02/01/2026 01:00:00 - 02/01/2026 02:00:00","France (FR)","Switzerland (CH)","96.72"
"02/01/2026 01:00:00 - 02/01/2026 02:00:00","Switzerland (CH)","France (FR)","0.00"
"02/01/2026 01:00:00 - 02/01/2026 02:00:00","France (FR)","United Kingdom (GB-CTY)","2871.66"
"02/01/2026 01:00:00 - 02/01/2026 02:00:00","United Kingdom (GB-CTY)","France (FR)","0.00"
"02/01/2026 02:00:00 - 02/01/2026 03:00:00","France (FR)","Belgium (BE)","0.00"
"02/01/2026 02:00:00 - 02/01/2026 03:00:00","Belgium (BE)","France (FR)","3304.63"
"02/01/2026 02:00:00 - 02/01/2026 03:00:00","France (FR)","Germany (DE)","0.00"
"02/01/2026 02:00:00 - 02/01/2026 03:00:00","Germany (DE)","France (FR)","1940.88"
"02/01/2026 02:00:00 - 02/01/2026 03:00:00","France (FR)","Italy (IT)","188.06"
"02/01/2026 02:00:00 - 02/01/2026 03:00:00","Italy (IT)","France (FR)","0.00"
"02/01/2026 02:00:00 - 02/01/2026 03:00:00","France (FR)","Luxembourg (LU)","n/e"
"02/01/2026 02:00:00 - 02/01/2026 03:00:00","Luxembourg (LU)","France (FR)","n/e"
"02/01/2026 02:00:00 - 02/01/2026 03:00:00","France (FR)","Spain (ES)","892.00"
"02/01/2026 02:00:00 - 02/01/2026 03:00:00","Spain (ES)","France (FR)","0.00"
"02/01/2026 02:00:00 - 02/01/2026 03:00:00","France (FR)","Switzerland (CH)","204.82"
"02/01/2026 02:00:00 - 02/01/2026 03:00:00","Switzerland (CH)","France (FR)","0.00"
"02/01/2026 02:00:00 - 02/01/2026 03:00:00","France (FR)","United Kingdom (GB-CTY)","2740.58"
"02/01/2026 02:00:00 - 02/01/2026 03:00:00","United Kingdom (GB-CTY)","France (FR)","0.00"
"02/01/2026 03:00:00 - 02/01/2026 04:00:00","France (FR)","Belgium (BE)","0.00"
"02/01/2026 03:00:00 - 02/01/2026 04:00:00","Belgium (BE)","France (FR)","3112.43"
"02/01/2026 03:00:00 - 02/01/2026 04:00:00","France (FR)","Germany (DE)","0.00"
"02/01/2026 03:00:00 - 02/01/2026 04:00:00","Germany (DE)","France (FR)","1907.84"
"02/01/2026 03:00:00 - 02/01/2026 04:00:00","France (FR)","Italy (IT)","133.39"
"02/01/2026 03:00:00 - 02/01/2026 04:00:00","Italy (IT)","France (FR)","0.00"
"02/01/2026 03:00:00 - 02/01/2026 04:00:00","France (FR)","Luxembourg (LU)","n/e"
"02/01/2026 03:00:00 - 02/01/2026 04:00:00","Luxembourg (LU)","France (FR)","n/e"
"02/01/2026 03:00:00 - 02/01/2026 04:00:00","France (FR)","Spain (ES)","1003.28"
"02/01/2026 03:00:00 - 02/01/2026 04:00:00","Spain (ES)","France (FR)","0.00"
"02/01/2026 03:00:00 - 02/01/2026 04:00:00","France (FR)","Switzerland (CH)","151.95"
"02/01/2026 03:00:00 - 02/01/2026 04:00:00","Switzerland (CH)","France (FR)","0.00"
"02/01/2026 03:00:00 - 02/01/2026 04:00:00","France (FR)","United Kingdom (GB-CTY)","2476.60"
"02/01/2026 03:00:00 - 02/01/2026 04:00:00","United Kingdom (GB-CTY)","France (FR)","0.00"
"02/01/2026 04:00:00 - 02/01/2026 05:00:00","France (FR)","Belgium (BE)","0.00"
"02/01/2026 04:00:00 - 02/01/2026 05:00:00","Belgium (BE)","France (FR)","3002.31"
"02/01/2026 04:00:00 - 02/01/2026 05:00:00","France (FR)","Germany (DE)","0.00"
"02/01/2026 04:00:00 - 02/01/2026 05:00:00","Germany (DE)","France (FR)","1763.60"
"02/01/2026 04:00:00 - 02/01/2026 05:00:00","France (FR)","Italy (IT)","131.89"
"02/01/2026 04:00:00 - 02/01/2026 05:00:00","Italy (IT)","France (FR)","0.00"
"02/01/2026 04:00:00 - 02/01/2026 05:00:00","France (FR)","Luxembourg (LU)","n/e"
"02/01/2026 04:00:00 - 02/01/2026 05:00:00","Luxembourg (LU)","France (FR)","n/e"
"02/01/2026 04:00:00 - 02/01/2026 05:00:00","France (FR)","Spain (ES)","779.09"
"02/01/2026 04:00:00 - 02/01/2026 05:00:00","Spain (ES)","France (FR)","0.00"
"02/01/2026 04:00:00 - 02/01/2026 05:00:00","France (FR)","Switzerland (CH)","252.30"
"02/01/2026 04:00:00 - 02/01/2026 05:00:00","Switzerland (CH)","France (FR)","0.00"
"02/01/2026 04:00:00 - 02/01/2026 05:00:00","France (FR)","United Kingdom (GB-CTY)","2298.41"
"02/01/2026 04:00:00 - 02/01/2026 05:00:00","United Kingdom (GB-CTY)","France (FR)","0.00"
"02/01/2026 05:00:00 - 02/01/2026 06:00:00","France (FR)","Belgium (BE)","0.00"
"02/01/2026 05:00:00 - 02/01/2026 06:00:00","Belgium (BE)","France (FR)","2759.19"
"02/01/2026 05:00:00 - 02/01/2026 06:00:00","France (FR)","Germany (DE)","0.00"
"02/01/2026 05:00:00 - 02/01/2026 06:00:00","Germany (DE)","France (FR)","1567.81"
"02/01/2026 05:00:00 - 02/01/2026 06:00:00","France (FR)","Italy (IT)","222.84"
"02/01/2026 05:00:00 - 02/01/2026 06:00:00","Italy (IT)","France (FR)","0.00"
"02/01/2026 05:00:00 - 02/01/2026 06:00:00","France (FR)","Luxembourg (LU)","n/e"
"02/01/2026 05:00:00 - 02/01/2026 06:00:00","Luxembourg (LU)","France (FR)","n/e"
"02/01/2026 05:00:00 - 02/01/2026 06:00:00","France (FR)","Spain (ES)","858.66"
"02/01/2026 05:00:00 - 02/01/2026 06:00:00","Spain (ES)","France (FR)","0.00"
"02/01/2026 05:00:00 - 02/01/2026 06:00:00","France (FR)","Switzerland (CH)","122.48"
"02/01/2026 05:00:00 - 02/01/2026 06:00:00","Switzerland (CH)","France (FR)","0.00"
"02/01/2026 05:00:00 - 02/01/2026 06:00:00","France (FR)","United Kingdom (GB-CTY)","1845.31"
"02/01/2026 05:00:00 - 02/01/2026 06:00:00","United Kingdom (GB-CTY)","France (FR)","0.00"
"02/01/2026 06:00:00 - 02/01/2026 07:00:00","France (FR)","Belgium (BE)","0.00"
"02/01/2026 06:00:00 - 02/01/2026 07:00:00","Belgium (BE)","France (FR)","3515.28"
"02/01/2026 06:00:00 - 02/01/2026 07:00:00","France (FR)","Germany (DE)","0.00"
"02/01/2026 06:00:00 - 02/01/2026 07:00:00","Germany (DE)","France (FR)","1816.22"
"02/01/2026 06:00:00 - 02/01/2026 07:00:00","France (FR)","Italy (IT)","395.07"
"02/01/2026 06:00:00 - 02/01/2026 07:00:00","Italy (IT)","France (FR)","0.00"
"02/01/2026 06:00:00 - 02/01/2026 07:00:00","France (FR)","Luxembourg (LU)","n/e"
"02/01/2026 06:00:00 - 02/01/2026 07:00:00","Luxembourg (LU)","France (FR)","n/e"
"02/01/2026 06:00:00 - 02/01/2026 07:00:00","France (FR)","Spain (ES)","869.03"
"02/01/2026 06:00:00 - 02/01/2026 07:00:00","Spain (ES)","France (FR)","0.00"
"02/01/2026 06:00:00 - 02/01/2026 07:00:00","France (FR)","Switzerland (CH)","0.00"
"02/01/2026 06:00:00 - 02/01/2026 07:00:00","Switzerland (CH)","France (FR)","305.72"
"02/01/2026 06:00:00 - 02/01/2026 07:00:00","France (FR)","United Kingdom (GB-CTY)","1444.47"
"02/01/2026 06:00:00 - 02/01/2026 07:00:00","United Kingdom (GB-CTY)","France (FR)","0.00"
"02/01/2026 07:00:00 - 02/01/2026 08:00:00","France (FR)","Belgium (BE)","0.00"
"02/01/2026 07:00:00 - 02/01/2026 08:00:00","Belgium (BE)","France (FR)","3509.85"
"02/01/2026 07:00:00 - 02/01/2026 08:00:00","France (FR)","Germany (DE)","0.00"
"02/01/2026 07:00:00 - 02/01/2026 08:00:00","Germany (DE)","France (FR)","1917.55"
"02/01/2026 07:00:00 - 02/01/2026 08:00:00","France (FR)","Italy (IT)","631.45"
"02/01/2026 07:00:00 - 02/01/2026 08:00:00","Italy (IT)","France (FR)","0.00"
"02/01/2026 07:00:00 - 02/01/2026 08:00:00","France (FR)","Luxembourg (LU)","n/e"
"02/01/2026 07:00:00 - 02/01/2026 08:00:00","Luxembourg (LU)","France (FR)","n/e"
"02/01/2026 07:00:00 - 02/01/2026 08:00:00","France (FR)","Spain (ES)","998.54"
"02/01/2026 07:00:00 - 02/01/2026 08:00:00","Spain (ES)","France (FR)","0.00"
"02/01/2026 07:00:00 - 02/01/2026 08:00:00","France (FR)","Switzerland (CH)","0.00"
"02/01/2026 07:00:00 - 02/01/2026 08:00:00","Switzerland (CH)","France (FR)","401.02"
"02/01/2026 07:00:00 - 02/01/2026 08:00:00","France (FR)","United Kingdom (GB-CTY)","1308.54"
"02/01/2026 07:00:00 - 02/01/2026 08:00:00","United Kingdom (GB-CTY)","France (FR)","0.00"
"02/01/2026 08:00:00 - 02/01/2026 09:00:00","France (FR)","Belgium (BE)","0.00"
"02/01/2026 08:00:00 - 02/01/2026 09:00:00","Belgium (BE)","France (FR)","3559.58"
"02/01/2026 08:00:00 - 02/01/2026 09:00:00","France (FR)","Germany (DE)","0.00"
"02/01/2026 08:00:00 - 02/01/2026 09:00:00","Germany (DE)","France (FR)","1724.27"
"02/01/2026 08:00:00 - 02/01/2026 09:00:00","France (FR)","Italy (IT)","775.11"
"02/01/2026 08:00:00 - 02/01/2026 09:00:00","Italy (IT)","France (FR)","0.00"
"02/01/2026 08:00:00 - 02/01/2026 09:00:00","France (FR)","Luxembourg (LU)","n/e"
"02/01/2026 08:00:00 - 02/01/2026 09:00:00","Luxembourg (LU)","France (FR)","n/e"
"02/01/2026 08:00:00 - 02/01/2026 09:00:00","France (FR)","Spain (ES)","1302.45"
"02/01/2026 08:00:00 - 02/01/2026 09:00:00","Spain (ES)","France (FR)","0.00"
"02/01/2026 08:00:00 - 02/01/2026 09:00:00","France (FR)","Switzerland (CH)","0.00"
"02/01/2026 08:00:00 - 02/01/2026 09:00:00","Switzerland (CH)","France (FR)","352.88"
"02/01/2026 08:00:00 - 02/01/2026 09:00:00","France (FR)","United Kingdom (GB-CTY)","2608.77"
"02/01/2026 08:00:00 - 02/01/2026 09:00:00","United Kingdom (GB-CTY)","France (FR)","0.00"
"02/01/2026 09:00:00 - 02/01/2026 10:00:00","France (FR)","Belgium (BE)","0.00"
"02/01/2026 09:00:00 - 02/01/2026 10:00:00","Belgium (BE)","France (FR)","2781.71"
"02/01/2026 09:00:00 - 02/01/2026 10:00:00","France (FR)","Germany (DE)","0.00"
"02/01/2026 09:00:00 - 02/01/2026 10:00:00","Germany (DE)","France (FR)","1353.29"
"02/01/2026 09:00:00 - 02/01/2026 10:00:00","France (FR)","Italy (IT)","869.38"
"02/01/2026 09:00:00 - 02/01/2026 10:00:00","Italy (IT)","France (FR)","0.00"
"02/01/2026 09:00:00 - 02/01/2026 10:00:00","France (FR)","Luxembourg (LU)","n/e"
"02/01/2026 09:00:00 - 02/01/2026 10:00:00","Luxembourg (LU)","France (FR)","n/e"
"02/01/2026 09:00:00 - 02/01/2026 10:00:00","France (FR)","Spain (ES)","795.23"
"02/01/2026 09:00:00 - 02/01/2026 10:00:00","Spain (ES)","France (FR)","0.00"
"02/01/2026 09:00:00 - 02/01/2026 10:00:00","France (FR)","Switzerland (CH)","405.19"
"02/01/2026 09:00:00 - 02/01/2026 10:00:00","Switzerland (CH)","France (FR)","0.00"
"02/01/2026 09:00:00 - 02/01/2026 10:00:00","France (FR)","United Kingdom (GB-CTY)","3453.38"
"02/01/2026 09:00:00 - 02/01/2026 10:00:00","United Kingdom (GB-CTY)","France (FR)","0.00"
"02/01/2026 10:00:00 - 02/01/2026 11:00:00","France (FR)","Belgium (BE)","0.00"
"02/01/2026 10:00:00 - 02/01/2026 11:00:00","Belgium (BE)","France (FR)","2217.55"
"02/01/2026 10:00:00 - 02/01/2026 11:00:00","France (FR)","Germany (DE)","0.00"
"02/01/2026 10:00:00 - 02/01/2026 11:00:00","Germany (DE)","France (FR)","692.47"
"02/01/2026 10:00:00 - 02/01/2026 11:00:00","France (FR)","Italy (IT)","1097.31"
"02/01/2026 10:00:00 - 02/01/2026 11:00:00","Italy (IT)","France (FR)","0.00"
"02/01/2026 10:00:00 - 02/01/2026 11:00:00","France (FR)","Luxembourg (LU)","n/e"
"02/01/2026 10:00:00 - 02/01/2026 11:00:00","Luxembourg (LU)","France (FR)","n/e"
"02/01/2026 10:00:00 - 02/01/2026 11:00:00","France (FR)","Spain (ES)","0.00"
"02/01/2026 10:00:00 - 02/01/2026 11:00:00","Spain (ES)","France (FR)","16.27"
"02/01/2026 10:00:00 - 02/01/2026 11:00:00","France (FR)","Switzerland (CH)","964.60"
"02/01/2026 10:00:00 - 02/01/2026 11:00:00","Switzerland (CH)","France (FR)","0.00"
"02/01/2026 10:00:00 - 02/01/2026 11:00:00","France (FR)","United Kingdom (GB-CTY)","3562.15"
"02/01/2026 10:00:00 - 02/01/2026 11:00:00","United Kingdom (GB-CTY)","France (FR)","0.00"
"02/01/2026 11:00:00 - 02/01/2026 12:00:00","France (FR)","Belgium (BE)","0.00"
"02/01/2026 11:00:00 - 02/01/2026 12:00:00","Belgium (BE)","France (FR)","2112.07"
"02/01/2026 11:00:00 - 02/01/2026 12:00:00","France (FR)","Germany (DE)","0.00"
"02/01/2026 11:00:00 - 02/01/2026 12:00:00","Germany (DE)","France (FR)","564.35"
"02/01/2026 11:00:00 - 02/01/2026 12:00:00","France (FR)","Italy (IT)","1242.79"
"02/01/2026 11:00:00 - 02/01/2026 12:00:00","Italy (IT)","France (FR)","0.00"
"02/01/2026 11:00:00 - 02/01/2026 12:00:00","France (FR)","Luxembourg (LU)","n/e"
"02/01/2026 11:00:00 - 02/01/2026 12:00:00","Luxembourg (LU)","France (FR)","n/e"
"02/01/2026 11:00:00 - 02/01/2026 12:00:00","France (FR)","Spain (ES)","0.00"
"02/01/2026 11:00:00 - 02/01/2026 12:00:00","Spain (ES)","France (FR)","222.56"
"02/01/2026 11:00:00 - 02/01/2026 12:00:00","France (FR)","Switzerland (CH)","1352.46"
"02/01/2026 11:00:00 - 02/01/2026 12:00:00","Switzerland (CH)","France (FR)","0.00"
"02/01/2026 11:00:00 - 02/01/2026 12:00:00","France (FR)","United Kingdom (GB-CTY)","3559.60"
"02/01/2026 11:00:00 - 02/01/2026 12:00:00","United Kingdom (GB-CTY)","France (FR)","0.00"
"02/01/2026 12:00:00 - 02/01/2026 13:00:00","France (FR)","Belgium (BE)","0.00"
"02/01/2026 12:00:00 - 02/01/2026 13:00:00","Belgium (BE)","France (FR)","2383.04"
"02/01/2026 12:00:00 - 02/01/2026 13:00:00","France (FR)","Germany (DE)","0.00"
"02/01/2026 12:00:00 - 02/01/2026 13:00:00","Germany (DE)","France (FR)","578.11"
"02/01/2026 12:00:00 - 02/01/2026 13:00:00","France (FR)","Italy (IT)","1525.68"
"02/01/2026 12:00:00 - 02/01/2026 13:00:00","Italy (IT)","France (FR)","0.00"
"02/01/2026 12:00:00 - 02/01/2026 13:00:00","France (FR)","Luxembourg (LU)","n/e"
"02/01/2026 12:00:00 - 02/01/2026 13:00:00","Luxembourg (LU)","France (FR)","n/e"
"02/01/2026 12:00:00 - 02/01/2026 13:00:00","France (FR)","Spain (ES)","0.00"
"02/01/2026 12:00:00 - 02/01/2026 13:00:00","Spain (ES)","France (FR)","449.64"
"02/01/2026 12:00:00 - 02/01/2026 13:00:00","France (FR)","Switzerland (CH)","1665.04"
"02/01/2026 12:00:00 - 02/01/2026 13:00:00","Switzerland (CH)","France (FR)","0.00"
"02/01/2026 12:00:00 - 02/01/2026 13:00:00","France (FR)","United Kingdom (GB-CTY)","3206.54"
"02/01/2026 12:00:00 - 02/01/2026 13:00:00","United Kingdom (GB-CTY)","France (FR)","0.00"
"02/01/2026 13:00:00 - 02/01/2026 14:00:00","France (FR)","Belgium (BE)","0.00"
"02/01/2026 13:00:00 - 02/01/2026 14:00:00","Belgium (BE)","France (FR)","2263.71"
"02/01/2026 13:00:00 - 02/01/2026 14:00:00","France (FR)","Germany (DE)","0.00"
"02/01/2026 13:00:00 - 02/01/2026 14:00:00","Germany (DE)","France (FR)","746.66"
"02/01/2026 13:00:00 - 02/01/2026 14:00:00","France (FR)","Italy (IT)","1639.55"
"02/01/2026 13:00:00 - 02/01/2026 14:00:00","Italy (IT)","France (FR)","0.00"
"02/01/2026 13:00:00 - 02/01/2026 14:00:00","France (FR)","Luxembourg (LU)","n/e"
"02/01/2026 13:00:00 - 02/01/2026 14:00:00","Luxembourg (LU)","France (FR)","n/e"
"02/01/2026 13:00:00 - 02/01/2026 14:00:00","France (FR)","Spain (ES)","1327.21"
"02/01/2026 13:00:00 - 02/01/2026 14:00:00","Spain (ES)","France (FR)","0.00"
"02/01/2026 13:00:00 - 02/01/2026 14:00:00","France (FR)","Switzerland (CH)","1309.74"
"02/01/2026 13:00:00 - 02/01/2026 14:00:00","Switzerland (CH)","France (FR)","0.00"
"02/01/2026 13:00:00 - 02/01/2026 14:00:00","France (FR)","United Kingdom (GB-CTY)","3371.88"
"02/01/2026 13:00:00 - 02/01/2026 14:00:00","United Kingdom (GB-CTY)","France (FR)","0.00"
"02/01/2026 14:00:00 - 02/01/2026 15:00:00","France (FR)","Belgium (BE)","0.00"
"02/01/2026 14:00:00 - 02/01/2026 15:00:00","Belgium (BE)","France (FR)","1799.99"
"02/01/2026 14:00:00 - 02/01/2026 15:00:00","France (FR)","Germany (DE)","0.00"
"02/01/2026 14:00:00 - 02/01/2026 15:00:00","Germany (DE)","France (FR)","500.06"
"02/01/2026 14:00:00 - 02/01/2026 15:00:00","France (FR)","Italy (IT)","1783.68"
"02/01/2026 14:00:00 - 02/01/2026 15:00:00","Italy (IT)","France (FR)","0.00"
"02/01/2026 14:00:00 - 02/01/2026 15:00:00","France (FR)","Luxembourg (LU)","n/e"
"02/01/2026 14:00:00 - 02/01/2026 15:00:00","Luxembourg (LU)","France (FR)","n/e"
"02/01/2026 14:00:00 - 02/01/2026 15:00:00","France (FR)","Spain (ES)","1971.82"
"02/01/2026 14:00:00 - 02/01/2026 15:00:00","Spain (ES)","France (FR)","0.00"
"02/01/2026 14:00:00 - 02/01/2026 15:00:00","France (FR)","Switzerland (CH)","1207.96"
"02/01/2026 14:00:00 - 02/01/2026 15:00:00","Switzerland (CH)","France (FR)","0.00"
"02/01/2026 14:00:00 - 02/01/2026 15:00:00","France (FR)","United Kingdom (GB-CTY)","3418.48"
"02/01/2026 14:00:00 - 02/01/2026 15:00:00","United Kingdom (GB-CTY)","France (FR)","0.00"
"02/01/2026 15:00:00 - 02/01/2026 16:00:00","France (FR)","Belgium (BE)","0.00"
"02/01/2026 15:00:00 - 02/01/2026 16:00:00","Belgium (BE)","France (FR)","1310.78"
"02/01/2026 15:00:00 - 02/01/2026 16:00:00","France (FR)","Germany (DE)","0.00"
"02/01/2026 15:00:00 - 02/01/2026 16:00:00","Germany (DE)","France (FR)","421.88"
"02/01/2026 15:00:00 - 02/01/2026 16:00:00","France (FR)","Italy (IT)","1953.10"
"02/01/2026 15:00:00 - 02/01/2026 16:00:00","Italy (IT)","France (FR)","0.00"
"02/01/2026 15:00:00 - 02/01/2026 16:00:00","France (FR)","Luxembourg (LU)","n/e"
"02/01/2026 15:00:00 - 02/01/2026 16:00:00","Luxembourg (LU)","France (FR)","n/e"
