"MTU","Out Area","In Area","Physical Flow (MW)"
"01/01/2026 00:30:00 - 01/01/2026 00:45:00","Germany (DE)","Luxembourg (LU)","324.00"
"01/01/2026 00:30:00 - 01/01/2026 00:45:00","Luxembourg (LU)","Germany (DE)","0.00"
"01/01/2026 00:30:00 - 01/01/2026 00:45:00","Germany (DE)","Netherlands (NL)","941.65"
"01/01/2026 00:30:00 - 01/01/2026 00:45:00","Netherlands (NL)","Germany (DE)","0.00"
"01/01/2026 00:30:00 - 01/01/2026 00:45:00","Germany (DE)","Norway (NO)","543.66"
"01/01/2026 00:30:00 - 01/01/2026 00:45:00","Norway (NO)","Germany (DE)","0.00"
"01/01/2026 00:30:00 - 01/01/2026 00:45:00","Germany (DE)","Poland (PL)","2053.03"
"01/01/2026 00:30:00 - 01/01/2026 00:45:00","Poland (PL)","Germany (DE)","0.00"
"01/01/2026 00:30:00 - 01/01/2026 00:45:00","Germany (DE)","Sweden (SE)","0.00"
"01/01/2026 00:30:00 - 01/01/2026 00:45:00","Sweden (SE)","Germany (DE)","216.86"
"01/01/2026 00:30:00 - 01/01/2026 00:45:00","Germany (DE)","Switzerland (CH)","3669.77"
"01/01/2026 00:30:00 - 01/01/2026 00:45:00","Switzerland (CH)","Germany (DE)","0.00"
"01/01/2026 00:45:00 - 01/01/2026 01:00:00","Germany (DE)","Austria (AT)","2402.29"
"01/01/2026 00:45:00 - 01/01/2026 01:00:00","Austria (AT)","Germany (DE)","0.00"
"01/01/2026 00:45:00 - 01/01/2026 01:00:00","Germany (DE)","Belgium (BE)","922.52"
"01/01/2026 00:45:00 - 01/01/2026 01:00:00","Belgium (BE)","Germany (DE)","0.00"
"01/01/2026 00:45:00 - 01/01/2026 01:00:00","Germany (DE)","Czech Republic (CZ)","1704.07"
"01/01/2026 00:45:00 - 01/01/2026 01:00:00","Czech Republic (CZ)","Germany (DE)","0.00"
