	Germany		California	Great Britain	France
count	17520.000000	17520.000000	17520.000000	17520.000000
mean	310.336872	212.084644	193.488333	32.786212
std	127.036247	89.949751	73.111846	12.837170
min	78.995862	42.713331	52.803061	16.964847
25%	200.905798	128.681958	127.590755	23.703011
50%	309.408342	231.474185	190.579730	29.064641
75%	417.191140	289.759408	251.747678	37.661384
max	596.287382	373.221157	383.173649	81.408696
